"age","type","percent","years_till_retirement"
64,"International Stocks",19,1
64,"US Bonds",29.3,1
64,"International Bonds",7.3,1
64,"Short Term TIPS",0,1
65,"US Stocks",38.2,0
65,"International Stocks",16.3,0
65,"US Bonds",32,0
65,"International Bonds",9.1,0
65,"Short Term TIPS",4.4,0
66,"US Stocks",38.2,-1
66,"International Stocks",16.3,-1
66,"US Bonds",32,-1
66,"International Bonds",9.1,-1
66,"Short Term TIPS",4.4,-1
67,"US Stocks",38.2,-2
67,"International Stocks",16.3,-2
67,"US Bonds",32,-2
67,"International Bonds",9.1,-2
67,"Short Term TIPS",4.4,-2
68,"US Stocks",38.2,-3
68,"International Stocks",16.3,-3
68,"US Bonds",32,-3
68,"International Bonds",9.1,-3
68,"Short Term TIPS",4.4,-3
69,"US Stocks",38.2,-4
69,"International Stocks",16.3,-4
69,"US Bonds",32,-4
69,"International Bonds",9.1,-4
69,"Short Term TIPS",4.4,-4
70,"US Stocks",29.5,-5
70,"International Stocks",12.6,-5
70,"US Bonds",34.8,-5
70,"International Bonds",11.6,-5
70,"Short Term TIPS",11.5,-5
71,"US Stocks",29.5,-6
71,"International Stocks",12.6,-6
71,"US Bonds",34.8,-6
71,"International Bonds",11.6,-6
71,"Short Term TIPS",11.5,-6
72,"US Stocks",29.5,-7
72,"International Stocks",12.6,-7
72,"US Bonds",34.8,-7
72,"International Bonds",11.6,-7
72,"Short Term TIPS",11.5,-7
73,"US Stocks",29.5,-8
73,"International Stocks",12.6,-8
73,"US Bonds",34.8,-8
73,"International Bonds",11.6,-8
73,"Short Term TIPS",11.5,-8
74,"US Stocks",29.5,-9
74,"International Stocks",12.6,-9
74,"US Bonds",34.8,-9
74,"International Bonds",11.6,-9
74,"Short Term TIPS",11.5,-9
75,"US Stocks",29.5,-10
75,"International Stocks",12.6,-10
75,"US Bonds",34.8,-10
75,"International Bonds",11.6,-10
75,"Short Term TIPS",11.5,-10
76,"US Stocks",29.5,-11
76,"International Stocks",12.6,-11
76,"US Bonds",34.8,-11
76,"International Bonds",11.6,-11
76,"Short Term TIPS",11.5,-11
77,"US Stocks",29.5,-12
77,"International Stocks",12.6,-12
77,"US Bonds",34.8,-12
77,"International Bonds",11.6,-12
77,"Short Term TIPS",11.5,-12
78,"US Stocks",29.5,-13
78,"International Stocks",12.6,-13
78,"US Bonds",34.8,-13
78,"International Bonds",11.6,-13
78,"Short Term TIPS",11.5,-13
79,"US Stocks",29.5,-14
79,"International Stocks",12.6,-14
79,"US Bonds",34.8,-14
79,"International Bonds",11.6,-14
79,"Short Term TIPS",11.5,-14
80,"US Stocks",29.5,-15
80,"International Stocks",12.6,-15
80,"US Bonds",34.8,-15
80,"International Bonds",11.6,-15
80,"Short Term TIPS",11.5,-15
81,"US Stocks",29.5,-16
81,"International Stocks",12.6,-16
81,"US Bonds",34.8,-16
81,"International Bonds",11.6,-16
81,"Short Term TIPS",11.5,-16
82,"US Stocks",29.5,-17
82,"International Stocks",12.6,-17
82,"US Bonds",34.8,-17
82,"International Bonds",11.6,-17
82,"Short Term TIPS",11.5,-17
83,"US Stocks",29.5,-18
83,"International Stocks",12.6,-18
83,"US Bonds",34.8,-18
83,"International Bonds",11.6,-18
83,"Short Term TIPS",11.5,-18
84,"US Stocks",29.5,-19
84,"International Stocks",12.6,-19
84,"US Bonds",34.8,-19
84,"International Bonds",11.6,-19
84,"Short Term TIPS",11.5,-19
85,"US Stocks",29.5,-20
85,"International Stocks",12.6,-20
85,"US Bonds",34.8,-20
85,"International Bonds",11.6,-20
85,"Short Term TIPS",11.5,-20
86,"US Stocks",29.5,-21
86,"International Stocks",12.6,-21
86,"US Bonds",34.8,-21
86,"International Bonds",11.6,-21
86,"Short Term TIPS",11.5,-21
87,"US Stocks",29.5,-22
87,"International Stocks",12.6,-22
87,"US Bonds",34.8,-22
87,"International Bonds",11.6,-22
87,"Short Term TIPS",11.5,-22
88,"US Stocks",29.5,-23
88,"International Stocks",12.6,-23
88,"US Bonds",34.8,-23
88,"International Bonds",11.6,-23
88,"Short Term TIPS",11.5,-23
89,"US Stocks",29.5,-24
89,"International Stocks",12.6,-24
89,"US Bonds",34.8,-24
89,"International Bonds",11.6,-24
89,"Short Term TIPS",11.5,-24
90,"US Stocks",29.5,-25
90,"International Stocks",12.6,-25
90,"US Bonds",34.8,-25
90,"International Bonds",11.6,-25
90,"Short Term TIPS",11.5,-25
91,"US Stocks",29.5,-26
91,"International Stocks",12.6,-26
91,"US Bonds",34.8,-26
91,"International Bonds",11.6,-26
91,"Short Term TIPS",11.5,-26
92,"US Stocks",29.5,-27
92,"International Stocks",12.6,-27
92,"US Bonds",34.8,-27
92,"International Bonds",11.6,-27
